都市名,class,height,t_year,p_year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
Afシンガポール（シンガポール）,A,5,27.6,2199,26.6,27.2,27.6,28,28.4,28.4,27.9,27.8,27.7,27.7,27,26.6,246.3,114.1,173.8,151.5,167.4,136.1,155.8,154,163.1,156.2,265.9,314.8
Afコロンボ（スリランカ）,A,7,27.7,2321.9,27.1,27.3,28.1,28.6,28.7,28,27.9,27.9,27.8,27.3,27.1,27,96.5,70.9,116.4,222.1,309.1,244.4,124.6,111.5,227.7,343.2,301.7,153.8
Amポートハーコート(ナイジェリア),A,18,26.5,2258.8,26.8,27.7,27.7,27.5,27.1,26,25.3,25.3,25.7,26.1,26.6,26.2,22.6,65.7,121.8,150.8,224.3,293.5,326.8,324.9,353.8,254.2,95.2,25.2
Amマイアミ（アメリカ）,A,4,25,1568.6,20.1,21,22.4,24.1,26.5,28,28.8,28.9,28.2,26.4,23.7,21.3,43,55.9,77.3,76.3,130.3,248.3,169.3,221.2,246.2,163.2,84.2,53.4
Awバンコク（タイ）,A,3,28.9,1653.1,27.3,28.6,29.8,30.9,30.1,29.7,29.3,29.1,28.7,28.4,27.9,26.6,15.1,18.3,39.3,86.6,245.8,162,171.4,207.9,349.2,302.2,47.9,7.4
Awメリダ（メキシコ）,A,11,26.3,1093,23.1,24.3,25.6,27.8,29.2,28.5,27.6,27.6,27.3,26.4,24.8,23.5,63.5,29.2,38.2,38.3,61.8,194.1,161.1,168.4,148.4,99.8,41.9,48.3
BSマシュハド（イラン）,B,999,16,253.7,2.2,5.9,10.7,16,21.5,26.5,28.4,27.2,22.1,16.2,10.3,5.4,30.6,33.3,54.9,45.6,32.6,5.2,2,1.4,3.9,4.1,17.9,22.2
BSワガドゥーグー（ブルキナファソ）,B,303,28.7,699,24.8,27.9,31.6,33.4,32.2,29.8,27.7,26.6,27.5,29.2,28,25.4,0,0.1,2,23.6,52.8,86.5,174.5,195.3,133,30.5,0.6,0.1
BSンジャメナ（チャド）,B,295,28.3,528.8,22.9,26.2,30.4,33.7,33.4,31,27.9,26.6,27.9,28.8,27.2,24.1,0,0,0,4.2,23.9,51.4,165,181.1,82.2,21,0,0
BWカシガル（中国）,B,1291,12.3,71.5,-4.8,0.4,8.5,15.7,20.1,23.7,25.6,24.5,19.6,12.5,4.4,-2.9,2.5,3.8,7.1,5.1,11.2,9.1,9.4,7.8,6.4,5.5,2,1.6
BWリヤド（サウジアラビア）,B,635,26.6,139.5,14.5,16.8,21.4,26.5,32.6,35.3,36.6,36.5,33.4,28.2,21.3,16.1,14.3,17.6,27.8,34.4,11.1,0,0,0.8,0,1.9,12.6,19
BWカイロ（エジプト）,B,116,21.7,34.6,14.1,14.8,17.3,21.6,24.5,27.4,28,28.2,26.6,24,19.2,15.1,7.1,4.3,6.9,1.2,0.4,0,0,0.3,0,0.1,6.4,7.9
Csニース（フランス）,C,4,15.6,739.2,8.3,9.1,11.3,13.5,17.5,21,23.9,24.1,20.7,16.9,12.1,9,71.9,42.4,38.6,70.3,46.1,35.9,14.9,18.4,75.3,130.8,108.9,85.7
Csサンフランシスコ（アメリカ）,C,6,14.5,517.1,10.1,11.6,12.7,13.8,15.3,16.8,17.5,18,18.2,16.4,13.2,10.3,100.7,105.8,70.3,32.3,14.4,3.1,0.1,1.1,4.4,22.8,58.6,103.5
Cwチンタオ（中国）,C,77,12.9,668.9,-0.2,1.5,5.6,11.3,16.7,20.5,24.4,25.3,22,16.4,9.2,2.5,11.2,14.7,21.6,30.6,60,76.1,149.7,151.1,72,40.6,28.4,12.9
Cwホンコン（中国）,C,64,23.1,2311,16.1,16.7,19,22.7,25.8,27.7,28.5,28.2,27.4,25.2,21.6,17.9,26.2,39.2,59,144.7,251.5,457.4,391.6,474.6,319.4,86.2,32,29.2
Cwグワハティ（インド）,C,54,24.6,1739.6,17.3,19.8,23.1,25.4,27,28.7,29,29.2,28.4,26.4,22.7,18.7,11.2,21.9,58.6,189.5,243.4,284.2,328.6,273.1,197.5,109.1,16.3,6.2
Cfa東京（日本）,C,6.1,15.4,1528.8,5.2,5.7,8.7,13.9,18.2,21.4,25,26.4,22.8,17.5,12.1,7.6,52.3,56.1,117.5,124.5,137.8,167.7,153.5,168.2,209.9,197.8,92.5,51
Cfaシャンハイ（中国）,C,9,17.1,1157,4.8,6.6,10.2,15.5,20.7,24.5,28.6,28.3,24.8,19.7,13.8,7.6,59.1,58.8,90.6,83.8,91.6,161,148.9,198,112.8,60.3,55.7,36.4
Cfaニューオーリンズ（アメリカ）,C,1,20.7,1598.1,11.6,13.5,16.7,20.3,24.6,27.2,28.2,28.2,26.2,21.6,16.7,13,139.3,122,118,116,119.4,201.1,149,155.6,133.7,92.1,117.2,134.7
Cfbパリ（フランス）,C,66,11.1,652.8,4.1,4.2,7.3,9.7,13.9,16.5,19.3,18.8,15.4,11.7,7.1,5.3,58.2,44.4,55.8,59.1,57.3,60.4,50.9,39.1,58.7,63.5,46.6,58.8
Cfbロンドン（イギリス）,C,24,11.8,640.3,5.8,6.2,8,10.5,13.9,17,18.7,18.5,16.2,12.4,8.5,5.7,55,46.8,41.9,46.4,49.1,46.8,46.8,57.8,50.8,70.6,72.4,55.9
Dfa札幌（日本）,D,17.2,8.9,1106.6,-3.6,-3.1,0.6,7.1,12.4,16.7,20.5,22.3,18.1,11.8,4.9,-0.9,113.6,94,77.8,56.8,53.1,46.8,81,123.8,135.2,108.7,104.1,111.7
Dfaシカゴ（アメリカ）,D,203,9.9,927.5,-4.6,-2.4,3.2,9.3,15,20.5,23.3,22.4,18.2,11.4,4.6,-2.3,44.3,44.9,63.8,81.3,92.9,86.7,91.7,123.2,82.5,80.8,79.9,55.5
Dfbモスクワ（ロシア）,D,156,5.8,706.5,-6.5,-6.7,-1,6.7,13.2,17,19.2,17,11.3,5.6,-1.2,-5.2,51.6,43.1,35.2,36.3,50.3,80.4,84.3,82,66.8,71.3,54.9,50.3
Dfcアルハンゲリスク（ロシア）,D,194,1.3,603.1,-12.6,-11.8,-5.3,0.5,6.9,13,16.2,13.1,8.2,2.2,-5.2,-9.8,38.2,29.6,30.3,29.4,50.4,59.9,70.7,68.8,61.3,66.3,53,45.2
Dwチャンチュン（中国）,D,238,6.1,580.4,-14.8,-9.8,-1.5,8.5,15.8,20.9,23.2,22.1,16,7.7,-3.2,-11.6,4.2,4.3,12.4,24.9,51.3,94.2,170.1,134,43.5,22.1,13.1,6.3
Dwbハバロフスク（ロシア）,D,76,2.3,663.9,-20.1,-15.3,-6.4,4.9,12.4,17.8,21.2,19.7,13.4,5,-7.5,-17.3,13.7,10.8,18.3,43.8,57.2,66.9,128.1,143,87.7,53.7,27.3,13.4
Dwcチタ（ロシア）,D,671,-1.4,349.8,-25.2,-19.1,-8.9,1.4,9.7,16.4,18.7,16,8.7,-0.3,-12.6,-21.9,2.9,2.1,2.8,12.2,26.2,64.9,89.3,87.8,41.8,8.8,6.1,4.9
ETディクソン（ロシア）,E,47,-11.1,383.6,-24.8,-25.7,-22.3,-17.4,-7.7,0.5,5,5.5,1.7,-7.5,-17.5,-22.7,35.7,29,25.5,20,21.2,32.5,33.5,40.8,43.2,36.4,27.8,38
ETバロー（アラスカ）,E,12,-11.2,115.9,-25.3,-25.8,-24.8,-16.6,-6,2.1,5,4,0.1,-8.2,-17,-22.1,3.4,3.2,3.4,3.9,5,8,24,26.6,18.8,10.9,4.9,3.8
Hラサ（中国）,H,3650,8.5,430.6,-0.8,2.2,5.7,8.9,12.7,16.4,16.3,15.5,13.6,9,3.3,-0.4,0.9,1.2,3,8,28.2,71.3,121.3,123.5,64.3,7.7,0.7,0.5
Hアディスアベバ（エチオピア）,H,2354,16.6,1145.2,15.7,17,17.9,18.2,18.3,16.9,16.2,16.1,16.3,16.1,15.2,14.9,15.6,40.9,67.4,87.4,95.6,132.1,238.2,254,144,46.9,16.8,6.3